id,verb_id,tense,person,pronoun,is_regular,correct_stem,correct_ending,distractor_stems,distractor_endings,aux_stem,aux_ending,distractor_aux_stems,distractor_aux_endings,rule_summary,explanation_translations
959a72d4-e0ab-4bcb-b3dd-967f2063cb5e,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,je,j',FALSE,ai,,"{""av"",""as"",""a""}",,,,,,Simple tense; irregular form 'ai'.,"{""en"":""For 'je', 'avoir' is irregular in the present: 'j'ai'."",""zh"":""对于 'je'，'avoir' 在现在时是不规则的：'j'ai'。"",""ja"":""'je' の場合、現在形の 'avoir' は不規則で 'j'ai' となります。"",""fr"":""Pour 'je', 'avoir' est irrégulier au présent : 'j'ai'.""}"
a479ca19-4a36-4f49-9be2-c72134ed2bb5,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,tu,tu,FALSE,as,,"{""ai"",""a"",""av""}",,,,,,Simple tense; irregular form 'as'.,"{""en"":""For 'tu', the form is 'as'."",""zh"":""对于 'tu'，形式是 'as'。"",""ja"":""'tu' の場合、形は 'as' です。"",""fr"":""Pour 'tu', la forme est 'as'.""}"
95667f9f-0d18-4bff-b48b-23501ff0cb1a,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,il,il,FALSE,a,,"{""as"",""ai"",""av""}",,,,,,Simple tense; irregular form 'a'.,"{""en"":""For 'il', the form is simply 'a'."",""zh"":""对于 'il'，形式很简单，就是 'a'。"",""ja"":""'il' の場合、形は単に 'a' です。"",""fr"":""Pour 'il', la forme est simplement 'a'.""}"
8f2df11a-3a97-400a-bf13-b679ae01aa75,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,elle,elle,FALSE,a,,"{""as"",""ai"",""av""}",,,,,,Simple tense; irregular form 'a'.,"{""en"":""For 'elle', the form is 'a', same as 'il'."",""zh"":""对于 'elle'，形式是 'a'，与 'il' 相同。"",""ja"":""'elle' の場合、形は 'il' と同じく 'a' です。"",""fr"":""Pour 'elle', la forme est 'a', comme pour 'il'.""}"
6786a46c-e0b4-4a6a-90d1-9ab8c3885b42,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,nous,nous,FALSE,avons,,"{""av"",""aur"",""a""}",,,,,,Simple tense; irregular form 'avons'.,"{""en"":""For 'nous', the form is 'avons'."",""zh"":""对于 'nous'，形式是 'avons'。"",""ja"":""'nous' の場合、形は 'avons' です。"",""fr"":""Pour 'nous', la forme est 'avons'.""}"
d9fd89dc-7d23-4bd5-9450-f2282bab4ab3,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,vous,vous,FALSE,avez,,"{""av"",""aur"",""a""}",,,,,,Simple tense; irregular form 'avez'.,"{""en"":""For 'vous', the form is 'avez'."",""zh"":""对于 'vous'，形式是 'avez'。"",""ja"":""'vous' の場合、形は 'avez' です。"",""fr"":""Pour 'vous', la forme est 'avez'.""}"
2e172901-8eda-4b77-b997-4e57bd40977f,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,ils,ils,FALSE,ont,,"{""av"",""a"",""sont""}",,,,,,Simple tense; irregular form 'ont'.,"{""en"":""For 'ils', the irregular form is 'ont'."",""zh"":""对于 'ils'，不规则形式是 'ont'。"",""ja"":""'ils' の場合、不規則な形は 'ont' です。"",""fr"":""Pour 'ils', la forme irrégulière est 'ont'.""}"
1275e264-2649-4c29-97b0-e8dde170a110,2c02b05a-b405-4525-a017-4b55ee872f26,Présent,elles,elles,FALSE,ont,,"{""av"",""a"",""sont""}",,,,,,Simple tense; irregular form 'ont'.,"{""en"":""For 'elles', the irregular form is 'ont'."",""zh"":""对于 'elles'，不规则形式是 'ont'。"",""ja"":""'elles' の場合、不規則な形は 'ont' です。"",""fr"":""Pour 'elles', la forme irrégulière est 'ont'.""}"
9419cb78-79ae-41ca-9311-3965e9c7fffd,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,je,j',TRUE,av,ais,"{""aur"",""ai"",""a""}","{""ait"",""as"",""ions""}",,,,,Simple tense; regular stem 'av-' + ending 'ais'.,"{""en"":""The imperfect stem is 'av-'. For 'je', add 'ais'."",""zh"":""未完成过去时词根是 'av-'。对于 'je'，加上 'ais'。"",""ja"":""半過去の語幹は 'av-' です。'je' には 'ais' を加えます。"",""fr"":""Le radical de l'imparfait est 'av-'. Pour 'je', ajoutez 'ais'.""}"
d9e0cbe3-bf79-44aa-99c1-1819d8781028,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,tu,tu,TRUE,av,ais,"{""aur"",""ai"",""a""}","{""ait"",""as"",""iez""}",,,,,Simple tense; regular stem 'av-' + ending 'ais'.,"{""en"":""For 'tu', use the stem 'av-' and add 'ais'."",""zh"":""对于 'tu'，使用词根 'av-' 并加上 'ais'。"",""ja"":""'tu' の場合、語幹 'av-' に 'ais' を加えます。"",""fr"":""Pour 'tu', utilisez le radical 'av-' et ajoutez 'ais'.""}"
9ef40ca4-4c6e-491f-9da4-1b44375ddf90,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,il,il,TRUE,av,ait,"{""aur"",""ai"",""a""}","{""ais"",""a"",""ont""}",,,,,Simple tense; regular stem 'av-' + ending 'ait'.,"{""en"":""For 'il', the imperfect ending is 'ait' added to 'av-'."",""zh"":""对于 'il'，未完成过去时词尾是 'ait'，加在 'av-' 后。"",""ja"":""'il' の場合、半過去の語尾は 'ait' で、'av-' に加えます。"",""fr"":""Pour 'il', la terminaison de l'imparfait est 'ait' ajoutée à 'av-'.""}"
5a3969a8-5e0a-45e3-9ab4-887c1d97e999,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,elle,elle,TRUE,av,ait,"{""aur"",""ai"",""a""}","{""ais"",""a"",""ont""}",,,,,Simple tense; regular stem 'av-' + ending 'ait'.,"{""en"":""For 'elle', use the same form as 'il': 'avait'."",""zh"":""对于 'elle'，使用与 'il' 相同的形式：'avait'。"",""ja"":""'elle' の場合、'il' と同じ形 'avait' を使います。"",""fr"":""Pour 'elle', utilisez la même forme que pour 'il' : 'avait'.""}"
60896996-aa29-493e-ba62-c5863318deb3,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,nous,nous,TRUE,av,ions,"{""aur"",""ai"",""a""}","{""ons"",""iez"",""aient""}",,,,,Simple tense; regular stem 'av-' + ending 'ions'.,"{""en"":""For 'nous', add 'ions' to the stem 'av-'."",""zh"":""对于 'nous'，在词根 'av-' 后加上 'ions'。"",""ja"":""'nous' の場合、語幹 'av-' に 'ions' を加えます。"",""fr"":""Pour 'nous', ajoutez 'ions' au radical 'av-'.""}"
8f2c79b5-a2bb-454a-a8e1-850cc599b81c,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,vous,vous,TRUE,av,iez,"{""aur"",""ai"",""a""}","{""ez"",""ions"",""aient""}",,,,,Simple tense; regular stem 'av-' + ending 'iez'.,"{""en"":""For 'vous', add 'iez' to the stem 'av-'."",""zh"":""对于 'vous'，在词根 'av-' 后加上 'iez'。"",""ja"":""'vous' の場合、語幹 'av-' に 'iez' を加えます。"",""fr"":""Pour 'vous', ajoutez 'iez' au radical 'av-'.""}"
0517226d-b8a7-4492-866f-568e92b6bfe0,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,ils,ils,TRUE,av,aient,"{""aur"",""ai"",""a""}","{""ont"",""ent"",""ait""}",,,,,Simple tense; regular stem 'av-' + ending 'aient'.,"{""en"":""For 'ils', the ending is 'aient' added to 'av-'."",""zh"":""对于 'ils'，词尾是 'aient'，加在 'av-' 后。"",""ja"":""'ils' の場合、語尾は 'aient' で、'av-' に加えます。"",""fr"":""Pour 'ils', la terminaison est 'aient' ajoutée au radical 'av-'.""}"
05f8d1d0-1393-46c1-8498-2369e0ab8fef,2c02b05a-b405-4525-a017-4b55ee872f26,Imparfait,elles,elles,TRUE,av,aient,"{""aur"",""ai"",""a""}","{""ont"",""ent"",""ait""}",,,,,Simple tense; regular stem 'av-' + ending 'aient'.,"{""en"":""For 'elles', use the same form as 'ils': 'avaient'."",""zh"":""对于 'elles'，使用与 'ils' 相同的形式：'avaient'。"",""ja"":""'elles' の場合、'ils' と同じ形 'avaient' を使います。"",""fr"":""Pour 'elles', utilisez la même forme que pour 'ils' : 'avaient'.""}"
70514e7a-7d2e-4a39-9944-9b341192b79a,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,je,j',FALSE,aur,ai,"{""av"",""a"",""ser""}","{""ais"",""as"",""a""}",,,,,Simple tense; irregular stem 'aur-' + ending 'ai'.,"{""en"":""The future uses the irregular stem 'aur-'. For 'je', add 'ai'."",""zh"":""将来时使用不规则词根 'aur-'。对于 'je'，加上 'ai'。"",""ja"":""未来形は不規則な語幹 'aur-' を使います。'je' には 'ai' を加えます。"",""fr"":""Le futur utilise le radical irrégulier 'aur-'. Pour 'je', ajoutez 'ai'.""}"
da2d90c7-6fad-4378-b8ab-ebd86d63318f,2c02b05a-b405-4525-a017-4b55ee872f26,Futur Simple,tu,tu,FALSE,aur,as,"{""av"",""a"",""ser""}","{""ai"",""a"",""es""}",,,,,Simple tense; irregular stem 'aur-' + ending 'as'.,"{""en"":""For 'tu', use the stem 'aur-' and add 'as'."",""zh"":""对于 'tu'，使用词根 'aur-' 并加上 'as'。"",""ja"":""'tu' の場合、語幹 'aur-' に 'as' を加えます。"",""fr"":""Pour 'tu', utilisez le radical 'aur-' et ajoutez 'as'.""}"
