id,infinitive,translations
2c02b05a-b405-4525-a017-4b55ee872f26,avoir,"{""en"":""to have"",""zh"":""有"",""ja"":""持つ""}"
4333d491-91f6-442f-beac-437f7fcd1bc7,être,"{""en"":""to be"",""zh"":""是"",""ja"":""ある""}"
0dce75ce-fbc1-4767-a2ee-634fd7bc44d5,finir,"{""en"":""to finish"",""zh"":""完成"",""ja"":""終える""}"
2a17d7f1-50cc-4a86-ac83-43b5abf8bc3c,aller,"{""en"":""to go"",""zh"":""去"",""ja"":""行く""}"
9692b224-b9eb-4c6d-916e-cd51fd1544af,faire,"{""en"":""to make / to do"",""zh"":""做 / 制造"",""ja"":""する / 作る""}"
e5a55b9c-f01d-4d45-a9c9-45a9989a601d,prendre,"{""en"":""to take"",""zh"":""拿"",""ja"":""取る""}"
460dabb3-2dfe-4eaf-8f6a-8c34c38eb07d,venir,"{""en"":""to come"",""zh"":""来"",""ja"":""来る""}"
1c266edf-49b0-4749-9836-8109d22fe8d3,vouloir,"{""en"":""to want"",""zh"":""想要"",""ja"":""欲する""}"
648314c4-2c55-4a1e-95a6-94e68d16cc7a,pouvoir,"{""en"":""to be able to / can"",""zh"":""能 / 可以"",""ja"":""できる""}"
ccec5a6d-6663-446d-a145-5653fc56b78a,savoir,"{""en"":""to know"",""zh"":""知道"",""ja"":""知る""}"
